,Date,Tm,H_V,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1
81,2015-11-30,MIA,,BOS,L 95-105,240,36,75,.480,31,58,.534,5,17,.294,18,24,.750,95,38,80,.475,30,60,.500,8,20,.400,21,25,.840,105
82,2015-11-27,MIA,@,NYK,W 97-78,240,33,76,.434,26,59,.441,7,17,.412,24,28,.857,97,32,85,.376,29,71,.408,3,14,.214,11,15,.733,78
83,Date,Tm,Â,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
84,2015-11-25,MIA,@,DET,L 81-104,240,32,79,.405,26,59,.441,6,20,.300,11,16,.688,81,41,98,.418,25,67,.373,16,31,.516,6,7,.857,104
85,2015-11-23,MIA,,NYK,W 95-78,240,31,81,.383,26,62,.419,5,19,.263,28,36,.778,95,28,87,.322,24,63,.381,4,24,.167,18,21,.857,78
86,2015-11-21,MIA,,PHI,W 96-91,240,30,69,.435,25,51,.490,5,18,.278,31,45,.689,96,31,82,.378,21,51,.412,10,31,.323,19,24,.792,91
87,2015-11-19,MIA,,SAC,W 116-109,240,42,89,.472,35,65,.538,7,24,.292,25,33,.758,116,43,84,.512,31,61,.508,12,23,.522,11,20,.550,109
88,2015-11-17,MIA,,MIN,L 91-103,240,36,79,.456,31,55,.564,5,24,.208,14,30,.467,91,36,97,.371,32,76,.421,4,21,.190,27,35,.771,103
89,2015-11-12,MIA,,UTA,W 92-91,240,36,77,.468,32,64,.500,4,13,.308,16,25,.640,92,34,89,.382,30,72,.417,4,17,.235,19,25,.760,91
90,2015-11-10,MIA,,LAL,W 101-88,240,38,84,.452,33,64,.516,5,20,.250,20,27,.741,101,34,77,.442,23,55,.418,11,22,.500,9,12,.750,88
91,2015-11-08,MIA,,TOR,W 96-76,240,35,83,.422,27,63,.429,8,20,.400,18,25,.720,96,28,71,.394,25,52,.481,3,19,.158,17,22,.773,76
92,2015-11-06,MIA,@,IND,L 87-90,240,36,81,.444,30,61,.492,6,20,.300,9,13,.692,87,36,80,.450,31,65,.477,5,15,.333,13,24,.542,90
93,2015-11-05,MIA,@,MIN,W 96-84,240,37,76,.487,33,62,.532,4,14,.286,18,25,.720,96,30,85,.353,26,73,.356,4,12,.333,20,22,.909,84
94,2015-11-03,MIA,,ATL,L 92-98,240,38,86,.442,33,58,.569,5,28,.179,11,16,.688,92,37,90,.411,30,69,.435,7,21,.333,17,22,.773,98
95,2015-11-01,MIA,,HOU,W 109-89,240,42,86,.488,33,64,.516,9,22,.409,16,21,.762,109,32,79,.405,22,43,.512,10,36,.278,15,18,.833,89
96,2015-10-30,MIA,@,CLE,L 92-102,240,33,77,.429,27,56,.482,6,21,.286,20,22,.909,92,39,86,.453,33,61,.541,6,25,.240,18,21,.857,102
