,DATE,START,VISITOR,PTS,HOME,PTS,ATTEND,NOTES,VISITOR_MP,VISITOR_FG,VISITOR_FGA,VISITOR_FG%,VISITOR_3P,VISITOR_3PA,VISITOR_3P%,VISITOR_FT,VISITOR_FTA,VISITOR_FT%,VISITOR_ORB,VISITOR_DRB,VISITOR_TRB,VISITOR_AST,VISITOR_STL,VISITOR_BLK,VISITOR_TOV,VISITOR_PF,VISITOR_PTS,VISITOR_+/-,VISITOR_TS%,VISITOR_eFG%,VISITOR_3PAr,VISITOR_FTr,VISITOR_ORB%,VISITOR_DRB%,VISITOR_TRB%,VISITOR_AST%,VISITOR_STL%,VISITOR_BLK%,VISITOR_TOV%,VISITOR_USG%,VISITOR_ORtg,VISITOR_DRtg,HOME_MP,HOME_FG,HOME_FGA,HOME_FG%,HOME_3P,HOME_3PA,HOME_3P%,HOME_FT,HOME_FTA,HOME_FT%,HOME_ORB,HOME_DRB,HOME_TRB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_PTS,HOME_+/-,HOME_TS%,HOME_eFG%,HOME_3PAr,HOME_FTr,HOME_ORB%,HOME_DRB%,HOME_TRB%,HOME_AST%,HOME_STL%,HOME_BLK%,HOME_TOV%,HOME_USG%,HOME_ORtg,HOME_DRtg
30,"Tue, Feb 5, 2019",7:30p,Detroit Pistons,105.0,New York Knicks,92.0,17853.0,,240,37,79,.468,12,34,.353,19,24,.792,6,35,41,22,4,7,9,21,105,,.586,.544,.430,.304,16.2,72.9,48.2,59.5,4.4,12.3,9.1,100.0,115.6,101.3,240,36,90,.400,9,33,.273,11,15,.733,13,31,44,17,5,4,11,23,92,,.476,.450,.367,.167,27.1,83.8,51.8,47.2,5.5,8.9,10.2,100.0,101.3,115.6
31,"Tue, Feb 5, 2019",8:00p,Orlando Magic,122.0,Oklahoma City Thunder,132.0,18203.0,,240,42,90,.467,11,37,.297,27,34,.794,8,32,40,27,14,4,18,29,122,,.581,.528,.411,.378,16.3,80.0,44.9,64.3,12.3,6.5,14.6,100.0,107.4,116.2,240,46,92,.500,13,30,.433,27,37,.730,8,41,49,25,11,2,17,25,132,,.610,.571,.326,.402,20.0,83.7,55.1,54.3,9.7,3.8,13.6,100.0,116.2,107.4
32,"Tue, Feb 5, 2019",8:00p,Toronto Raptors,119.0,Philadelphia 76ers,107.0,20472.0,,240,41,89,.461,11,31,.355,26,32,.813,15,27,42,27,12,0,10,27,119,,.577,.522,.348,.360,34.1,84.4,55.3,65.9,12.5,0.0,8.8,100.0,123.8,111.4,240,31,70,.443,7,24,.292,38,41,.927,5,29,34,20,8,3,18,22,107,,.608,.493,.343,.586,15.6,65.9,44.7,64.5,8.3,5.2,17.0,100.0,111.4,123.8
33,"Tue, Feb 5, 2019",10:30p,Miami Heat,118.0,Portland Trail Blazers,108.0,19468.0,,240,45,83,.542,7,22,.318,21,25,.840,8,38,46,18,11,7,12,15,118,,.628,.584,.265,.301,23.5,84.4,58.2,40.0,11.2,13.0,11.3,100.0,120.6,110.3,240,42,93,.452,15,39,.385,9,12,.750,7,26,33,30,6,2,11,21,108,,.549,.532,.419,.129,15.6,76.5,41.8,71.4,6.1,3.3,10.1,100.0,110.3,120.6
34,"Wed, Feb 6, 2019",7:30p,Denver Nuggets,130.0,Brooklyn Nets,135.0,14516.0,,240,50,99,.505,13,35,.371,17,21,.810,12,36,48,32,7,8,13,26,130,,.601,.571,.354,.212,25.5,87.8,54.5,64.0,6.4,14.3,10.7,100.0,119.6,124.2,240,46,90,.511,19,34,.559,24,33,.727,5,35,40,36,9,5,13,22,135,,.646,.617,.378,.367,12.2,74.5,45.5,78.3,8.3,7.8,11.1,100.0,124.2,119.6
35,"Wed, Feb 6, 2019",8:00p,New Orleans Pelicans,125.0,Chicago Bulls,120.0,18116.0,,240,45,85,.529,15,35,.429,20,30,.667,14,32,46,26,1,6,11,18,125,,.636,.618,.412,.353,34.1,78.0,56.1,57.8,1.1,10.9,10.1,100.0,132.1,126.9,240,45,91,.495,16,36,.444,14,19,.737,9,27,36,27,8,6,8,23,120,,.604,.582,.396,.209,22.0,65.9,43.9,60.0,8.5,12.0,7.5,100.0,126.9,132.1
36,"Wed, Feb 6, 2019",8:30p,Charlotte Hornets,93.0,Dallas Mavericks,99.0,19606.0,,240,36,89,.404,9,37,.243,12,17,.706,8,39,47,17,9,9,14,17,93,,.482,.455,.416,.191,16.0,72.2,45.2,47.2,9.1,15.5,12.7,100.0,94.0,100.1,240,38,94,.404,11,36,.306,12,17,.706,15,42,57,25,8,5,13,12,99,,.488,.463,.383,.181,27.8,84.0,54.8,65.8,8.1,9.6,11.4,100.0,100.1,94.0
37,"Wed, Feb 6, 2019",10:30p,San Antonio Spurs,102.0,Golden State Warriors,141.0,19596.0,,240,35,81,.432,12,32,.375,20,21,.952,4,26,30,24,6,5,18,19,102,,.565,.506,.395,.259,9.5,65.0,36.6,68.6,5.9,8.2,16.6,100.0,100.9,139.5,240,55,95,.579,16,34,.471,15,21,.714,14,38,52,42,14,5,11,20,141,,.676,.663,.358,.221,35.0,90.5,63.4,76.4,13.9,10.2,9.5,100.0,139.5,100.9
38,"Wed, Feb 6, 2019",8:00p,Washington Wizards,129.0,Milwaukee Bucks,148.0,17360.0,,240,48,92,.522,17,37,.459,16,19,.842,8,32,40,34,6,5,24,23,129,,.643,.614,.402,.207,23.5,80.0,54.1,70.8,5.4,7.9,19.3,100.0,116.2,133.3,240,56,93,.602,19,30,.633,17,26,.654,8,26,34,33,15,3,14,20,148,,.709,.704,.323,.280,20.0,76.5,45.9,58.9,13.5,5.5,11.8,100.0,133.3,116.2
39,"Wed, Feb 6, 2019",10:00p,Houston Rockets,127.0,Sacramento Kings,101.0,17583.0,,240,45,100,.450,20,51,.392,17,18,.944,13,29,42,17,13,7,11,19,127,,.588,.550,.510,.180,27.7,59.2,43.8,37.8,13.0,12.1,9.2,100.0,126.9,100.9,240,39,91,.429,11,33,.333,12,20,.600,20,34,54,21,5,6,22,22,101,,.506,.489,.363,.220,40.8,72.3,56.3,53.8,5.0,12.2,18.1,100.0,100.9,126.9
